Name,Type,Complexity,City,Latitude,Longitude
Hospital de Villeta,hospital,High,Colombia,5.0065968,-74.4701158
Clínica del Parque,hospital,Medium,Colombia,4.5446278,-75.6629953
Hospital,hospital,Medium,Colombia,4.1497926,-74.7221806
centro de Salud de Apulo,hospital,Medium,Apulo,4.5188762,-74.5954549
Hospital Marco Tulio Afanador,hospital,Medium,Colombia,4.4570199,-74.6358162
Hospital San Juan Bautista,hospital,High,Colombia,3.7268292,-75.4845993
Hospital Regional de San Gil,hospital,Medium,Colombia,6.5574587,-73.1300163
Hospital San Vicente de Paul,hospital,Medium,Salento,4.6364789,-75.570895
Cruz roja,hospital,Medium,Colombia,4.9244432,-75.06458
Hospital Anzoátegui,hospital,Medium,Colombia,4.6284726,-75.0961573
SOMA,hospital,Medium,Colombia,6.2488833,-75.5645579
Clínica Versalles,hospital,High,Colombia,5.0628269,-75.4978067
centro Médico,hospital,Medium,Colombia,4.7628209,-75.1301726
Antigua Clínica Palermo,hospital,Medium,Colombia,1.2255397,-77.2855082
Clínica El Laguito,clinic,Low,Colombia,5.7247261,-72.9239039
San Juan De Dios,hospital,Medium,Colombia,2.2698988,-75.8069899
Clínica La Estancia,hospital,High,Colombia,2.4506816,-76.5971661
Hospital San José,hospital,Medium,Colombia,6.40998,-72.4475011
Clínica Los Remansos,hospital,Medium,Ibague,4.4368514,-75.2197028
Hospital San Antonio,hospital,High,Colombia,5.0460829,-75.515039
Ips interlaken,hospital,Medium,Colombia,4.4441707,-75.2328312
Clínica de la Policía,hospital,Medium,Colombia,5.0572068,-75.4793198
Medical Center,hospital,Medium,Colombia,6.294778,-75.5525882
Hospital,hospital,Medium,Colombia,3.2408083,-74.3539981
Centro Salud,hospital,Medium,Colombia,3.0682754,-75.1388684
Nuestra Señora de Guadalupe,hospital,High,Colombia,2.0234289,-75.7596495
Unidad Renal,hospital,Medium,Colombia,6.1948324,-75.5781105
ESE Salud Paz de Río,hospital,Medium,Colombia,5.9859583,-72.7495746
Clínica de la Policía,hospital,Medium,Colombia,6.1620713,-75.5987776
Hospital San Juan de Dios,hospital,Medium,Colombia,6.2159978,-75.2389373
Centro Médico Familiar La Flora,hospital,Medium,Colombia,3.4845799,-76.5154442
PROVIVIR LABORATORIO CLÍNICO No.2,hospital,Medium,Colombia,3.4305796,-76.4948908
ÓPTICA FRANCESA,hospital,Medium,Colombia,3.4518987,-76.5315611
FUNDACIÓN PARA EL DESARROLLO DE LA SALUD FAMILIAR Y SOCIAL- FAMISALUD,hospital,Medium,Colombia,3.449362,-76.5348941
CENTRO ODONTOLÓGICO FAMILIAR VERSALLES CRUZ BLANCA EPS S.A.,hospital,Medium,Colombia,3.4608051,-76.5284877
Puesto de Salud Doce de Octubre,hospital,Medium,Colombia,3.432205,-76.5013507
Ciclo Vital Colombia Limitada,hospital,Medium,Colombia,3.4489415,-76.5363103
AUDIOVIDA,hospital,Medium,Cali,3.4678076,-76.5290915
Medicina Electrodiagnostica,hospital,Medium,Colombia,3.4134963,-76.5350964
Consubsalud Ips E U,hospital,Medium,Colombia,3.3855722,-76.5200015
LABORATORIO CLÍNICO OSCAR COLLAZOS Y CIA,hospital,Medium,Colombia,3.4172961,-76.5426557
Centro de Reconocimiento de Conductores Colombia En Movimiento Ltda,hospital,Medium,Colombia,3.4721295,-76.5215527
Oftalaser S.a.,hospital,Medium,Colombia,3.4702631,-76.5299603
ÓPTICA CALIMA LTDA,hospital,Medium,Colombia,3.4806042,-76.5161261
CENTRO DE ESTÉTICA CARMEN GALINDO E.U.,hospital,Medium,Colombia,3.4023253,-76.5439422
PROVIDA # 1,hospital,Medium,Colombia,3.4530879,-76.5256508
ASOCIACIÓN DE DISCAPACITADOS DEL VALLE - ASODISVALLE,hospital,Medium,Colombia,3.433989,-76.4931228
LABORATORIO CLÍNICO SAN MARTIN SEDE RODEO,hospital,Medium,Colombia,3.4356563,-76.5041096
ÁNGEL DIAGNOSTICA S.A - SEDE CHIPICHAPE,hospital,Medium,Colombia,3.4769198,-76.5249453
LABORATORIO CLÍNICO SAN MARTIN T,hospital,Medium,Colombia,3.4526012,-76.5589902
Primsalud Primero Su Salud Empresa Unipersonal,hospital,Medium,Colombia,3.4363377,-76.5385577
ASOCIACIÓN PARA LA SALUD MENTAL INFANTIL DEL ADOLESCENTE SIMA,hospital,Medium,Colombia,3.4019813,-76.5453011
Ortoclub S.a,hospital,Medium,Colombia,3.4056855,-76.5552691
Centro de Salud Decepaz,hospital,Medium,Colombia,3.4263427,-76.4634818
SONRÍA DAMA SALUD CALI NORTE,hospital,Medium,Colombia,3.4676948,-76.5267425
Centro de Salud El Diamante,hospital,Medium,Colombia,3.4187792,-76.5027229
Puesto Desalud Calipso,hospital,Medium,Colombia,3.4248595,-76.4992685
Laboratorio Bioimagen Ltda Cali,hospital,Medium,Colombia,3.4626465,-76.5248472
Fisiosalud Terapias Integrales Ltda,hospital,Medium,Colombia,3.4511111,-76.5414739
FUNDACIÓN LIGA COLOMBIANA CONTRA LA EPILEPSIA CAPITULO VALLE - HELENA NADER DE ZACCOUR (LICCE),hospital,Medium,Colombia,3.4281351,-76.5412498
PROVIDA # 11,hospital,Medium,Colombia,3.3748085,-76.5464504
ODONTOLAB - X DEL VALLE,hospital,Medium,Colombia,3.4649815,-76.5312339
Ips La Samaritana Santa,hospital,Medium,Colombia,3.4776651,-76.5160443
ÁLVAREZ MEDINA LTDA LABORATORIO MICROBIOLÓGICO,hospital,Medium,Colombia,3.4627583,-76.5223462
Centro de Salud Alfonso Young Valero,hospital,Medium,Colombia,3.4122977,-76.5226573
RED DE SALUD DEL SURORIENTE ESE - CENTRO DE SALUD ANTONIO NARIÑO,hospital,Medium,Colombia,3.4163732,-76.5079713
CORPORACIÓN CENTRO INTERNACIONAL DE ENTRENAMIENTO E INVESTIGACIONES MEDICAS,hospital,Medium,Colombia,3.45103,-76.5400364
GRUPO MEDICO ODONTOLÓGICO COLOMBIANO DE SALUD COLSALUD LTDA SEDE I,hospital,Medium,Colombia,3.4696942,-76.4981229
Centro de Reconocimiento de Conductores A Prueba U.t. Cali,hospital,Medium,Colombia,3.4921826,-76.5153277
Depi Light Cali,hospital,Medium,Colombia,3.4129294,-76.5409867
